,Name,AB,AVG,SLG,H,1B,2B,3B,HR,BB,HBP,SB,CS,Total_Bases,Runs_Created
412,Lane Thomas,498,0.241,0.404,120,75,26,2,17,41,4,8,4,201,61.07734807
443,Ozzie Albies,247,0.247,0.409,61,37,16,0,8,16,2,3,5,101,30.10943396
451,Gavin Lux,335,0.242,0.364,81,58,12,4,7,41,3,4,1,122,40.23746702
559,Kevin Kiermaier,206,0.228,0.369,47,32,8,0,7,14,1,6,1,76,21.32126697
625,Adam Frazier,541,0.238,0.311,129,100,22,4,3,46,5,11,6,168,51.08108108
644,Omar Narvaez,262,0.206,0.305,54,37,12,1,4,29,3,0,0,80,23.40136054
115,Jake Fraley,216,0.259,0.468,56,35,9,0,12,26,3,4,1,101,35.04081633
158,J.D. Martinez,533,0.274,0.448,146,86,43,1,16,52,5,0,0,239,82.23220339
204,Ji-Man Choi,258,0.229,0.411,59,34,14,0,11,45,2,0,0,106,36.83934426
254,Lourdes Gurriel Jr.,453,0.291,0.4,132,94,32,1,5,31,6,3,4,181,62.42653061
316,Jace Peterson,259,0.247,0.367,64,46,11,1,6,38,3,10,1,95,33.25
390,Wil Myers,261,0.261,0.398,68,46,15,0,7,21,1,2,1,104,33.07420495
378,Jose Iglesias,439,0.292,0.38,128,95,30,0,3,17,8,2,3,167,55.06681034
409,Carlos Santana,431,0.202,0.376,87,50,18,0,19,71,2,0,0,162,51.42857143
538,Yadier Molina,440,0.252,0.37,111,81,19,0,11,24,5,3,0,163,48.65671642
599,Sergio Alcantara,220,0.205,0.327,45,31,6,3,5,30,2,3,0,72,22
682,Jonah Heim,265,0.196,0.358,52,29,13,0,10,15,1,3,1,95,22.98932384
65,Garrett Cooper,215,0.284,0.465,61,41,10,1,9,30,4,1,1,100,38.15261044
174,Jesus Sanchez,227,0.251,0.489,57,33,8,2,14,20,3,0,1,111,35.52
211,J.D. Davis,318,0.248,0.418,79,50,16,1,12,39,6,1,1,133,45.43250689
249,Matt Duffy,289,0.287,0.381,83,66,12,0,5,25,7,8,1,110,39.40809969
326,Corey Dickerson,336,0.271,0.408,91,62,18,5,6,25,3,6,5,137,44.78846154
373,Trey Mancini,519,0.239,0.391,124,82,23,1,18,53,10,0,0,203,65.22508591
427,Brandon Lowe,235,0.221,0.383,52,32,10,2,8,27,3,1,0,90,27.8490566
489,Jesus Sanchez,313,0.214,0.403,67,37,14,3,13,26,3,1,0,126,35.36842105
505,Adam Duvall,287,0.213,0.401,61,32,16,1,12,21,5,0,2,115,31.96485623
511,Ramon Laureano,346,0.211,0.376,73,42,18,0,13,25,12,11,6,130,37.33681462
554,Ryan Jeffers,212,0.208,0.363,44,26,10,1,7,23,0,0,0,77,21.95319149
617,Yoan Moncada,397,0.212,0.353,84,53,18,1,12,32,2,2,0,140,38.32946636
250,Rowdy Tellez,529,0.219,0.461,116,58,23,0,35,62,5,2,1,244,74.91946309
312,Mitch Haniger,224,0.246,0.429,55,36,8,0,11,20,1,0,0,96,29.77959184
284,Jake Fraley,214,0.21,0.369,45,29,7,0,9,46,2,10,2,79,28.04198473
453,Abraham Toro,335,0.239,0.373,80,57,12,0,11,31,7,6,3,125,39.54423592
606,Andres Gimenez,188,0.218,0.351,41,26,10,0,5,11,7,11,0,66,18.90291262
627,David Fletcher,626,0.262,0.324,164,132,27,3,2,31,1,15,3,203,60.46808511
210,Taylor Ward,208,0.25,0.438,52,29,15,0,8,20,6,1,1,91,30.33333333
336,Eddie Rosario,379,0.259,0.435,98,62,19,3,14,26,1,11,3,165,50.80049261
280,Yonathan Daza,372,0.301,0.384,112,87,21,2,2,26,4,0,3,143,50.51243781
400,Gio Urshela,420,0.267,0.419,112,78,18,2,14,20,1,1,0,176,53.07936508
442,Raimel Tapia,487,0.273,0.372,133,99,26,2,6,40,1,20,6,181,59.64772727
441,Rafael Ortega,316,0.241,0.358,76,54,14,1,7,44,2,12,7,113,38.08287293
504,Brandon Marsh,236,0.254,0.356,60,43,12,3,2,20,2,6,1,84,26.69767442
541,Ryan Jeffers,267,0.199,0.401,53,28,10,1,14,22,4,0,1,107,28.84982935
