,Name,AB,AVG,SLG,H,1B,2B,3B,HR,BB,HBP,SB,CS,Total_Bases,Runs_Created
397,Joey Votto,322,0.205,0.37,66,36,18,1,11,44,10,0,0,119,37.9787234
570,Yuli Gurriel,545,0.242,0.36,132,84,40,0,8,30,6,8,0,196,56.6746988
521,Hunter Dozier,487,0.216,0.394,105,56,27,6,16,43,7,5,4,192,55.41899441
493,Hunter Dozier,462,0.236,0.387,109,67,26,4,12,34,3,4,3,179,52.37274549
705,Owen Miller,191,0.204,0.309,39,27,8,0,4,9,1,2,0,59,14.38308458
710,Cody Bellinger,315,0.165,0.302,52,31,9,2,10,31,1,3,1,95,22.99711816
594,Franmil Reyes,438,0.221,0.365,97,64,17,2,14,30,2,2,1,160,43.91489362
662,Brad Miller,222,0.212,0.32,47,37,3,0,7,18,0,4,2,71,19.22916667
675,Eddie Rosario,250,0.212,0.328,53,35,12,1,5,17,0,3,0,82,21.49812734
717,Leury Garcia,300,0.21,0.267,63,52,8,0,3,7,3,2,0,80,18.83870968
696,Jonathan Villar,202,0.208,0.302,42,31,6,2,3,15,0,7,0,61,16.02304147
572,Elias Diaz,351,0.228,0.368,80,51,18,2,9,25,2,0,1,129,36.51587302
612,Miguel Cabrera,397,0.254,0.317,101,86,10,0,5,28,3,1,0,126,38.85981308
716,Jackie Bradley Jr.,387,0.163,0.261,63,40,14,3,6,28,10,7,1,101,24.00235294
